#omch2	,ombh2	,h0	,n_s	,s8_input
0.2077973811846528	0.024382772960083895	0.7391714267299769	1.0171116259145396	1.1028223640857
0.09390651219010485	0.020421893131252738	0.7014277140265968	0.9212088005671646	0.7473799193004251
0.0748449249712818	0.024354816380697347	0.690916135411061	0.8670922231996104	0.5184236577780057
0.12724701168239919	0.019659649405504465	0.7963355037772153	0.8830968738365251	0.9038920411250406
0.2244941385476993	0.025479374004600115	0.663895693763665	0.9917084113436289	1.1304698338031438
0.24355772650177812	0.020513066497889563	0.7200051266559346	0.972737012380198	0.3006489852457231
0.1616881692356554	0.02395471906263269	0.7265531226230504	0.877969662865166	1.088494673287954
0.13048192470699563	0.02336714397295114	0.817555565520524	1.0322951127749544	0.5618336997733822
0.1859638112226752	0.024937406558762552	0.7850186961005885	0.9312364546911849	1.146002173161385
0.22073268917821484	0.024537501502633015	0.7647712880462413	0.8727443723920871	0.2883911312411338
0.23700751815479185	0.025709890764691986	0.6605945645242007	0.9866077023736768	0.833748465209973
0.24447323968280804	0.02365982796398642	0.6955495627890343	0.9993604058908873	0.29414579359170073
0.07409601587571651	0.025147191262414326	0.7483913836431842	1.0920674867642572	0.10879600705349723
0.14381366488155534	0.022171003259129546	0.7739239416840785	0.9138443428793444	0.10435391953899277
0.1934784426132838	0.0235896801857523	0.7353976818550846	1.0569078880324538	0.47990135356114094
0.23948435163895518	0.022089324022771924	0.6802717556553948	0.9584390189123306	0.8195274740059345
0.14643428348869078	0.020712333541054836	0.6715238329539789	0.9473556189527212	0.8376427062821862
0.07666327989151414	0.02562069880166781	0.6931340358099845	0.9880093136581057	0.5909482408980777
0.21912630053389237	0.020200241530052353	0.7007836423899821	0.9789066781722495	0.1413326557673459
0.15701927201688537	0.02520105336261305	0.6496252754336524	0.8566877464486746	1.261125408440816
0.13433497289714894	0.01983910231683427	0.7907579357851461	0.8449277201019262	1.042659812553286
0.16309970218052758	0.02532523148324607	0.6896048904062623	1.0671481632896127	0.24574094433058677
0.25405585940533193	0.021597511456619117	0.6444262452820595	0.994372874427911	1.0531431196762056
0.19481156992528978	0.02478410558617197	0.7533140051280438	0.8462099730354788	1.1600501179119707
0.14249646757974999	0.019927909714815166	0.6620394728000657	0.9124608904177851	0.19326829351832264
